PLAYER,TEAM_BBREF,MP,BPM,SEASON
Mikal Bridges,PHO,2854.0,1.6,2021-22
Miles Bridges,CHO,2837.0,1.5,2021-22
DeMar DeRozan,CHI,2743.0,2.5,2021-22
Jayson Tatum,BOS,2731.0,5.0,2021-22
Saddiq Bey,DET,2704.0,-0.3,2021-22
Tyrese Haliburton,2TM,2695.0,2.6,2021-22
Tyrese Haliburton,SAC,1757.0,2.6,2021-22
Tyrese Haliburton,IND,938.0,2.8,2021-22
Russell Westbrook,LAL,2678.0,-1.6,2021-22
Trae Young,ATL,2652.0,5.2,2021-22
Tyrese Maxey,PHI,2650.0,0.6,2021-22
Dorian Finney-Smith,DAL,2644.0,0.8,2021-22
Scottie Barnes,TOR,2617.0,0.9,2021-22
Harrison Barnes,SAC,2580.0,0.2,2021-22
Pascal Siakam,TOR,2578.0,3.5,2021-22
Julius Randle,NYK,2544.0,0.5,2021-22
Tobias Harris,PHI,2543.0,0.0,2021-22
Jalen Brunson,DAL,2524.0,0.9,2021-22
Buddy Hield,2TM,2499.0,-1.2,2021-22
Buddy Hield,SAC,1574.0,-1.3,2021-22
Buddy Hield,IND,925.0,-1.1,2021-22
Nikola Jokić,DEN,2476.0,13.7,2021-22
Karl-Anthony Towns,MIN,2476.0,5.0,2021-22
Anthony Edwards,MIN,2466.0,1.2,2021-22
Fred VanVleet,TOR,2462.0,3.6,2021-22
Terry Rozier,CHO,2458.0,1.7,2021-22
Gary Trent Jr.,TOR,2448.0,0.2,2021-22
Darius Garland,CLE,2430.0,2.6,2021-22
Franz Wagner,ORL,2429.0,-0.7,2021-22
LaMelo Ball,CHO,2422.0,3.4,2021-22
James Harden,2TM,2419.0,4.0,2021-22
James Harden,BRK,1627.0,4.1,2021-22
James Harden,PHI,792.0,3.8,2021-22
Nikola Vučević,CHI,2418.0,0.9,2021-22
RJ Barrett,NYK,2417.0,-1.6,2021-22
Royce O'Neale,UTA,2406.0,0.8,2021-22
Keldon Johnson,SAS,2392.0,-0.5,2021-22
Aaron Gordon,DEN,2376.0,-0.6,2021-22
Dejounte Murray,SAS,2366.0,5.4,2021-22
Evan Fournier,NYK,2358.0,-0.7,2021-22
Patty Mills,BRK,2346.0,-1.7,2021-22
Devin Booker,PHO,2345.0,4.1,2021-22
Reggie Jackson,LAC,2337.0,-3.0,2021-22
Herbert Jones,NOP,2335.0,-0.5,2021-22
Evan Mobley,CLE,2331.0,0.6,2021-22
Andrew Wiggins,GSW,2330.0,0.4,2021-22
Kentavious Caldwell-Pope,WAS,2329.0,-1.5,2021-22
Zach LaVine,CHI,2328.0,2.4,2021-22
Alec Burks,NYK,2318.0,0.8,2021-22
Terance Mann,LAC,2317.0,-0.6,2021-22
Luka Dončić,DAL,2301.0,8.2,2021-22
Joel Embiid,PHI,2297.0,9.2,2021-22
Marcus Smart,BOS,2296.0,0.5,2021-22
Jordan Poole,GSW,2283.0,1.0,2021-22
Will Barton,DEN,2277.0,-0.5,2021-22
Desmond Bane,MEM,2266.0,2.7,2021-22
Donovan Mitchell,UTA,2266.0,4.3,2021-22
Jonas Valančiūnas,NOP,2240.0,1.9,2021-22
Monte Morris,DEN,2239.0,0.0,2021-22
Jaylen Brown,BOS,2220.0,2.1,2021-22
Stephen Curry,GSW,2211.0,5.8,2021-22
Jrue Holiday,MIL,2208.0,3.2,2021-22
Giannis Antetokounmpo,MIL,2204.0,11.2,2021-22
Kyle Kuzma,WAS,2204.0,-0.2,2021-22
Derrick White,2TM,2199.0,0.9,2021-22
Derrick White,SAS,1486.0,1.8,2021-22
Derrick White,BOS,713.0,-0.9,2021-22
Kevin Huerter,ATL,2188.0,-1.2,2021-22
Devonte' Graham,NOP,2162.0,-1.0,2021-22
Tyler Herro,MIA,2151.0,0.7,2021-22
CJ McCollum,2TM,2145.0,1.9,2021-22
CJ McCollum,POR,1267.0,0.1,2021-22
CJ McCollum,NOP,878.0,4.5,2021-22
Jordan Clarkson,UTA,2141.0,-0.6,2021-22
Khris Middleton,MIL,2141.0,1.6,2021-22
Malik Monk,LAL,2139.0,-0.5,2021-22
Chris Paul,PHO,2139.0,5.4,2021-22
Jalen Green,HOU,2138.0,-2.9,2021-22
Domantas Sabonis,2TM,2136.0,4.1,2021-22
Domantas Sabonis,IND,1632.0,4.6,2021-22
Domantas Sabonis,SAC,504.0,2.3,2021-22
